                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7068,                 1.7323,                 1.3209,                0.71525,                0.46608,                0.55652,                 0.2896,                 1.6794,                    inf,                 1.3075,               0.070265,              0.0033038,              0.0033038
                      1,                 1.5672,                  1.032,                 1.2545,                0.69512,                0.44464,                0.51236,                0.25801,                  1.763,                    inf,                  1.412,               0.039937,              0.0063086,              0.0063086
                      2,                 1.5939,                  1.022,                 1.2788,                0.70178,                0.47923,                0.55639,                0.27795,                 1.7358,                    inf,                 1.4032,              0.0092784,              0.0089834,              0.0089834
                      3,                 1.5803,                 1.0039,                  1.278,                0.72589,                0.49967,                0.56797,                0.28694,                 1.6855,                    inf,                 1.3647,               0.008515,               0.008515,               0.008515
                      4,                 1.5525,                0.97807,                 1.2698,                0.73304,                0.51633,                0.59001,                0.31085,                 1.6174,                    inf,                 1.3005,               0.008515,               0.008515,               0.008515
                      5,                  1.542,                 0.9633,                 1.2676,                0.74757,                0.52825,                0.59748,                0.32009,                 1.5401,                    inf,                 1.2718,                0.00802,                0.00802,                0.00802
                      6,                 1.5254,                0.94323,                 1.2603,                 0.7355,                0.50183,                0.58029,                0.29855,                 1.6725,                    inf,                 1.3624,               0.007525,               0.007525,               0.007525
                      7,                 1.5182,                0.93934,                 1.2573,                0.78184,                0.50871,                0.60618,                0.33517,                 1.5253,                    inf,                 1.2675,                0.00703,                0.00703,                0.00703
                      8,                 1.5056,                0.92625,                 1.2501,                0.77988,                0.53766,                0.62135,                0.34123,                 1.5103,                    inf,                 1.2517,               0.006535,               0.006535,               0.006535
                      9,                 1.4863,                0.90681,                 1.2446,                0.78228,                0.54036,                0.62512,                0.34329,                 1.5022,                    inf,                 1.2655,                0.00604,                0.00604,                0.00604
                     10,                  1.481,                0.87303,                 1.2502,                0.78119,                0.52069,                0.61719,                0.34223,                 1.5233,                    inf,                 1.2633,               0.005545,               0.005545,               0.005545
                     11,                  1.468,                0.85843,                 1.2413,                0.78025,                 0.5232,                 0.6195,                0.34017,                 1.5399,                    inf,                 1.2769,                0.00505,                0.00505,                0.00505
                     12,                 1.4645,                0.85326,                 1.2407,                0.78621,                0.54168,                  0.627,                0.34722,                 1.4989,                    inf,                 1.2601,               0.004555,               0.004555,               0.004555
                     13,                 1.4478,                 0.8376,                  1.231,                0.78984,                0.54781,                0.63802,                0.36201,                 1.4551,                    inf,                 1.2388,                0.00406,                0.00406,                0.00406
                     14,                 1.4367,                0.82577,                 1.2236,                0.80469,                0.56163,                0.64856,                0.37052,                 1.4221,                    inf,                 1.2203,               0.003565,               0.003565,               0.003565
                     15,                 1.4279,                0.81354,                 1.2175,                0.80402,                0.56687,                0.65706,                0.37435,                 1.4189,                    inf,                 1.2134,                0.00307,                0.00307,                0.00307
                     16,                 1.4126,                 0.8041,                 1.2106,                0.80699,                0.56042,                0.65408,                0.37615,                 1.4168,                    inf,                 1.2041,               0.002575,               0.002575,               0.002575
                     17,                 1.3953,                0.78994,                 1.1992,                0.80128,                0.56893,                0.65924,                0.37331,                 1.4324,                    inf,                 1.2222,                0.00208,                0.00208,                0.00208
                     18,                  1.385,                0.77705,                 1.1929,                0.81185,                0.57887,                  0.669,                0.38629,                 1.3839,                    inf,                 1.1909,               0.001585,               0.001585,               0.001585
                     19,                 1.3661,                0.76008,                 1.1817,                0.82554,                 0.5754,                0.67261,                0.39522,                 1.3599,                    inf,                 1.1675,                0.00109,                0.00109,                0.00109
