                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6229,                 1.2129,                 1.2865,                0.74736,                0.48202,                0.56793,                0.30081,                 1.6304,                 1.0596,                 1.3111,               0.070133,              0.0033186,              0.0033186
                      1,                 1.5917,                  1.019,                 1.2862,                0.60831,                0.40684,                  0.434,                0.21175,                 1.8855,                 1.3518,                 1.5374,               0.039803,              0.0063226,              0.0063226
                      2,                 1.5829,                 1.0013,                 1.2907,                0.72331,                0.47434,                0.55336,                0.27862,                 1.7294,                  1.055,                    1.4,              0.0091442,              0.0089967,              0.0089967
                      3,                 1.5734,                0.98766,                 1.2853,                0.73404,                0.48159,                0.56232,                0.28958,                 1.6442,                 1.0955,                 1.3445,               0.008515,               0.008515,               0.008515
                      4,                 1.5376,                0.95703,                 1.2718,                0.75444,                0.53203,                0.60858,                0.32385,                 1.5514,                 1.0055,                 1.3061,               0.008515,               0.008515,               0.008515
                      5,                 1.5148,                0.93497,                 1.2655,                0.78372,                0.53184,                0.61956,                0.33862,                 1.5145,                0.88788,                 1.2669,                0.00802,                0.00802,                0.00802
                      6,                 1.5071,                0.92097,                 1.2574,                0.76193,                0.52506,                0.60538,                0.33011,                 1.5341,                0.94105,                 1.2887,               0.007525,               0.007525,               0.007525
                      7,                 1.4922,                0.91056,                 1.2513,                0.79229,                0.53882,                 0.6273,                0.35117,                 1.4818,                0.84998,                 1.2433,                0.00703,                0.00703,                0.00703
                      8,                 1.4751,                0.89644,                 1.2421,                0.79723,                0.54332,                0.63301,                0.35132,                 1.4683,                0.85737,                 1.2382,               0.006535,               0.006535,               0.006535
                      9,                  1.462,                0.87922,                 1.2358,                 0.7845,                0.55739,                0.64515,                0.36072,                 1.4381,                0.82747,                  1.229,                0.00604,                0.00604,                0.00604
                     10,                 1.4418,                0.83002,                 1.2332,                0.79492,                0.56269,                0.65105,                0.37019,                 1.4325,                0.82592,                 1.2231,               0.005545,               0.005545,               0.005545
                     11,                 1.4259,                0.81549,                  1.222,                0.80586,                0.56372,                0.65418,                0.37006,                 1.4294,                0.79511,                 1.2168,                0.00505,                0.00505,                0.00505
                     12,                 1.4123,                0.80302,                 1.2142,                0.80811,                0.57495,                0.66489,                0.38259,                 1.3873,                0.79509,                 1.1938,               0.004555,               0.004555,               0.004555
                     13,                 1.4015,                0.79008,                 1.2064,                0.81535,                 0.5679,                0.66226,                0.38245,                 1.3971,                0.77407,                 1.2009,                0.00406,                0.00406,                0.00406
                     14,                 1.3902,                0.78059,                 1.1987,                0.81502,                0.58306,                0.67293,                 0.3916,                  1.372,                 0.7579,                 1.1878,               0.003565,               0.003565,               0.003565
                     15,                 1.3762,                0.76956,                 1.1898,                0.81801,                0.58185,                0.67317,                0.39306,                 1.3648,                0.75584,                 1.1804,                0.00307,                0.00307,                0.00307
                     16,                 1.3691,                0.76061,                 1.1858,                 0.8188,                0.58725,                0.67931,                0.39744,                   1.35,                0.74222,                 1.1728,               0.002575,               0.002575,               0.002575
                     17,                 1.3543,                0.74793,                 1.1774,                 0.8218,                0.59383,                0.68294,                0.40318,                 1.3406,                0.72516,                 1.1618,                0.00208,                0.00208,                0.00208
                     18,                 1.3439,                0.74036,                  1.171,                0.82816,                0.59125,                0.68502,                0.40639,                  1.331,                0.72247,                 1.1601,               0.001585,               0.001585,               0.001585
                     19,                 1.3315,                 0.7284,                 1.1625,                0.82935,                0.59263,                0.68672,                0.40769,                 1.3265,                0.71486,                 1.1532,                0.00109,                0.00109,                0.00109
