                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6945,                 1.3538,                 1.3374,                0.63893,                0.37904,                0.43131,                0.20757,                 1.9221,                    inf,                 1.5394,               0.070265,              0.0033038,              0.0033038
                      1,                 1.6438,                  1.066,                 1.3201,                0.64443,                0.36964,                0.41201,                0.19268,                 1.9572,                    inf,                 1.6476,               0.039937,              0.0063086,              0.0063086
                      2,                 1.6269,                 1.0399,                  1.317,                0.61527,                 0.3947,                0.43737,                0.21073,                 1.8492,                    inf,                 1.5426,              0.0092784,              0.0089834,              0.0089834
                      3,                 1.5849,                0.99413,                 1.2917,                 0.7355,                0.50071,                0.56706,                  0.296,                 1.6271,                    inf,                  1.348,               0.008515,               0.008515,               0.008515
                      4,                 1.5436,                0.95876,                 1.2718,                0.70736,                0.50563,                0.55943,                0.27609,                 1.7434,                    inf,                 1.4303,               0.008515,               0.008515,               0.008515
                      5,                 1.5221,                0.93555,                 1.2591,                0.77596,                0.53516,                0.61725,                0.33465,                 1.5286,                    inf,                 1.2783,                0.00802,                0.00802,                0.00802
                      6,                 1.4969,                0.90975,                 1.2462,                  0.773,                0.50782,                0.60062,                0.32229,                 1.5748,                    inf,                 1.2822,               0.007525,               0.007525,               0.007525
                      7,                 1.4822,                0.89578,                 1.2337,                0.78744,                0.54318,                 0.6345,                0.35701,                 1.4668,                    inf,                 1.2264,                0.00703,                0.00703,                0.00703
                      8,                 1.4653,                0.88204,                 1.2235,                0.79354,                0.56721,                0.64872,                0.36499,                 1.4324,                    inf,                 1.2106,               0.006535,               0.006535,               0.006535
                      9,                 1.4463,                0.86365,                  1.217,                0.78425,                0.55277,                0.63139,                0.35192,                 1.4735,                    inf,                 1.2248,                0.00604,                0.00604,                0.00604
                     10,                 1.4338,                0.82021,                 1.2168,                0.79431,                0.55962,                0.64868,                0.36811,                 1.4423,                    inf,                 1.2188,               0.005545,               0.005545,               0.005545
                     11,                 1.4179,                0.80448,                 1.2069,                0.80076,                 0.5645,                0.65457,                0.36763,                 1.4546,                    inf,                 1.2191,                0.00505,                0.00505,                0.00505
                     12,                 1.4074,                0.79505,                 1.1993,                 0.7959,                0.56023,                0.64937,                0.37069,                 1.4305,                    inf,                 1.2179,               0.004555,               0.004555,               0.004555
                     13,                 1.3959,                0.78143,                 1.1931,                0.81265,                0.56681,                0.66071,                0.38186,                 1.3934,                    inf,                 1.1847,                0.00406,                0.00406,                0.00406
                     14,                 1.3824,                0.77212,                 1.1848,                 0.8151,                 0.5819,                0.67021,                0.38819,                 1.3741,                    inf,                 1.1771,               0.003565,               0.003565,               0.003565
                     15,                 1.3728,                0.76257,                 1.1783,                0.82037,                0.58388,                 0.6742,                0.39304,                 1.3699,                    inf,                 1.1757,                0.00307,                0.00307,                0.00307
                     16,                 1.3614,                0.75232,                 1.1721,                 0.8262,                0.57826,                0.67549,                0.39923,                  1.347,                    inf,                 1.1619,               0.002575,               0.002575,               0.002575
                     17,                 1.3527,                0.74424,                 1.1674,                0.82278,                0.58648,                0.68255,                0.39891,                 1.3549,                    inf,                 1.1659,                0.00208,                0.00208,                0.00208
                     18,                  1.341,                0.73502,                 1.1604,                0.82685,                0.59204,                0.68597,                0.40372,                 1.3403,                    inf,                 1.1551,               0.001585,               0.001585,               0.001585
                     19,                 1.3295,                0.72525,                 1.1541,                0.82891,                0.59294,                0.68532,                0.40688,                 1.3282,                    inf,                 1.1484,                0.00109,                0.00109,                0.00109
