                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6518,                 1.3408,                 1.3002,                0.69837,                0.47438,                0.54236,                0.26937,                 1.7572,                    inf,                 1.3499,               0.070265,              0.0033038,              0.0033038
                      1,                 1.5712,                 1.0126,                 1.2666,                0.71508,                0.46668,                0.53735,                0.27903,                 1.7021,                    inf,                 1.4029,               0.039937,              0.0063086,              0.0063086
                      2,                 1.5717,                0.99644,                 1.2768,                 0.7166,                0.46021,                0.56518,                0.29928,                 1.6721,                    inf,                 1.3726,              0.0092784,              0.0089834,              0.0089834
                      3,                 1.5528,                0.97215,                 1.2695,                0.76318,                0.50013,                0.58391,                0.31269,                 1.6055,                    inf,                 1.3183,               0.008515,               0.008515,               0.008515
                      4,                 1.5214,                0.94566,                  1.257,                0.73154,                 0.5154,                0.58717,                 0.3147,                 1.5768,                    inf,                 1.3048,               0.008515,               0.008515,               0.008515
                      5,                 1.5072,                0.92825,                 1.2501,                0.76733,                0.53797,                0.61612,                0.33393,                 1.5303,                    inf,                 1.2859,                0.00802,                0.00802,                0.00802
                      6,                 1.4948,                0.91188,                 1.2452,                0.78209,                0.54005,                0.63159,                0.34188,                 1.5397,                    inf,                   1.26,               0.007525,               0.007525,               0.007525
                      7,                 1.4791,                0.90175,                 1.2351,                0.78597,                0.53982,                0.63259,                0.35365,                  1.483,                    inf,                 1.2303,                0.00703,                0.00703,                0.00703
                      8,                 1.4673,                0.88909,                   1.23,                0.78859,                0.55249,                0.63733,                0.35777,                 1.4601,                    inf,                 1.2287,               0.006535,               0.006535,               0.006535
                      9,                 1.4503,                 0.8713,                  1.225,                0.78528,                0.55109,                0.63335,                0.35647,                 1.4634,                    inf,                 1.2362,                0.00604,                0.00604,                0.00604
                     10,                 1.4373,                0.82806,                 1.2234,                0.79189,                 0.5588,                0.64752,                0.36715,                 1.4377,                    inf,                 1.2231,               0.005545,               0.005545,               0.005545
                     11,                 1.4202,                0.81322,                  1.215,                0.80508,                0.55309,                0.65047,                0.36739,                  1.454,                    inf,                 1.2257,                0.00505,                0.00505,                0.00505
                     12,                 1.4133,                0.80366,                 1.2089,                0.80019,                0.56701,                0.65509,                0.37716,                 1.4011,                    inf,                 1.2023,               0.004555,               0.004555,               0.004555
                     13,                 1.3997,                0.79243,                 1.2019,                0.80523,                0.56673,                0.66297,                0.38386,                 1.3956,                    inf,                 1.1895,                0.00406,                0.00406,                0.00406
                     14,                 1.3875,                0.78197,                 1.1924,                0.81061,                0.56801,                0.66037,                0.38329,                 1.3928,                    inf,                 1.1988,               0.003565,               0.003565,               0.003565
                     15,                 1.3797,                 0.7713,                 1.1867,                0.81558,                0.57943,                0.67119,                0.38963,                 1.3744,                    inf,                 1.1823,                0.00307,                0.00307,                0.00307
                     16,                 1.3675,                0.76296,                 1.1805,                0.81924,                0.57946,                0.67465,                0.39403,                 1.3645,                    inf,                 1.1737,               0.002575,               0.002575,               0.002575
                     17,                 1.3572,                0.75233,                 1.1755,                0.81592,                0.59367,                 0.6833,                 0.4001,                  1.347,                    inf,                 1.1708,                0.00208,                0.00208,                0.00208
                     18,                 1.3456,                0.74234,                 1.1681,                0.82552,                0.58822,                0.68366,                0.40387,                 1.3399,                    inf,                 1.1601,               0.001585,               0.001585,               0.001585
                     19,                 1.3306,                0.73001,                   1.16,                0.82704,                0.58998,                0.68597,                0.40725,                 1.3318,                    inf,                 1.1567,                0.00109,                0.00109,                0.00109
