                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1459,                 2.7565,                 2.4253,                0.00604,                0.00355,                0.00306,                 0.0007,                 3.9778,                    inf,                 4.7437,               0.070265,              0.0033038,              0.0033038
                      1,                 2.7278,                 2.1204,                 2.0891,                 0.0593,                0.08784,                0.03612,                0.01375,                 3.5619,                    inf,                  3.232,               0.039937,              0.0063086,              0.0063086
                      2,                 2.4603,                 1.8637,                 1.9129,                0.19929,                0.17696,                 0.1013,                0.03735,                 2.9713,                    inf,                 2.9457,              0.0092784,              0.0089834,              0.0089834
                      3,                  2.263,                 1.6248,                 1.7677,                0.13142,                0.07191,                0.05339,                0.01466,                 3.5831,                    inf,                 5.9067,               0.008515,               0.008515,               0.008515
                      4,                 2.1566,                 1.5121,                 1.6985,                0.18134,                0.08359,                0.07155,                0.02719,                 3.7101,                    inf,                 4.1656,               0.008515,               0.008515,               0.008515
                      5,                 2.0852,                 1.4432,                 1.6464,                 0.3809,                0.19928,                0.19388,                0.08148,                 2.7275,                    inf,                 2.2567,                0.00802,                0.00802,                0.00802
                      6,                 2.0511,                 1.4082,                 1.6211,                0.59241,                0.08668,                0.30138,                0.13044,                 2.8408,                    inf,                 2.5102,               0.007525,               0.007525,               0.007525
                      7,                   2.03,                 1.3861,                 1.6052,                0.30745,                0.05997,                0.16337,                0.06569,                 3.8431,                    inf,                 3.6946,                0.00703,                0.00703,                0.00703
                      8,                 1.9987,                  1.356,                 1.5847,                   0.48,                 0.1892,                0.25688,                0.11452,                 2.4998,                    inf,                 2.2031,               0.006535,               0.006535,               0.006535
                      9,                 1.9681,                 1.3295,                 1.5662,                0.20814,                 0.0848,                0.08062,                 0.0337,                 3.3128,                    inf,                 2.9056,                0.00604,                0.00604,                0.00604
                     10,                 1.9316,                 1.2853,                  1.574,                0.30894,                0.13135,                0.10047,                0.02848,                 3.1183,                    inf,                 2.9131,               0.005545,               0.005545,               0.005545
                     11,                 1.9097,                 1.2575,                 1.5585,                0.29373,                0.23464,                0.18556,                0.07389,                 2.6265,                    inf,                 2.4344,                0.00505,                0.00505,                0.00505
                     12,                 1.9024,                 1.2448,                 1.5512,                 0.4471,                0.18296,                0.16858,                0.06981,                 2.7056,                    inf,                 2.4034,               0.004555,               0.004555,               0.004555
                     13,                 1.8821,                 1.2261,                  1.536,                0.25732,                0.17832,                0.17593,                0.06915,                 3.3712,                    inf,                 2.8066,                0.00406,                0.00406,                0.00406
                     14,                  1.861,                 1.2063,                 1.5244,                0.48325,                0.12214,                0.26841,                0.17843,                 2.8381,                    inf,                 4.6987,               0.003565,               0.003565,               0.003565
                     15,                 1.8486,                 1.1889,                 1.5123,                0.51819,                0.31328,                0.33014,                0.14536,                 2.3138,                    inf,                 1.9174,                0.00307,                0.00307,                0.00307
                     16,                 1.8336,                 1.1752,                  1.502,                0.39354,                0.28579,                0.22524,                0.10895,                 2.3239,                    inf,                 1.9857,               0.002575,               0.002575,               0.002575
                     17,                 1.8102,                 1.1586,                 1.4883,                0.54488,                0.29209,                0.35209,                0.17447,                 2.2779,                    inf,                 1.8203,                0.00208,                0.00208,                0.00208
                     18,                 1.8013,                 1.1446,                 1.4793,                0.58448,                0.36457,                0.40037,                0.17788,                 2.1827,                    inf,                 1.7475,               0.001585,               0.001585,               0.001585
                     19,                 1.7789,                 1.1217,                 1.4628,                0.62405,                0.42728,                0.47217,                0.22401,                 1.9304,                    inf,                  1.583,                0.00109,                0.00109,                0.00109
