                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9234,                 1.5768,                 1.4585,                0.45337,                0.26451,                0.27719,                0.13097,                 2.0292,                    inf,                 1.7172,               0.070265,              0.0033038,              0.0033038
                      1,                 1.8944,                 1.3029,                 1.4578,                0.55155,                 0.3472,                0.38035,                0.16788,                  2.033,                    inf,                 1.7587,               0.039937,              0.0063086,              0.0063086
                      2,                 1.8358,                 1.2479,                 1.4398,                0.62782,                0.41381,                0.45048,                0.21072,                 1.8102,                    inf,                 1.4963,              0.0092784,              0.0089834,              0.0089834
                      3,                 1.7602,                 1.1593,                 1.4004,                0.65178,                0.47494,                0.51861,                0.25699,                 1.7389,                    inf,                 1.4248,               0.008515,               0.008515,               0.008515
                      4,                  1.701,                 1.1062,                 1.3756,                0.72696,                0.49372,                0.56627,                0.29287,                 1.6207,                    inf,                 1.3478,               0.008515,               0.008515,               0.008515
                      5,                 1.6589,                 1.0656,                 1.3574,                0.75536,                0.51787,                0.59335,                 0.3203,                 1.5517,                    inf,                 1.3092,                0.00802,                0.00802,                0.00802
                      6,                 1.6293,                 1.0324,                 1.3415,                0.76104,                  0.516,                0.61067,                0.33345,                 1.5589,                    inf,                 1.3154,               0.007525,               0.007525,               0.007525
                      7,                 1.6035,                 1.0104,                 1.3256,                0.72612,                0.49427,                0.56968,                0.31412,                 1.5379,                    inf,                 1.3289,                0.00703,                0.00703,                0.00703
                      8,                 1.5747,                0.98696,                 1.3111,                 0.7695,                0.53291,                0.61215,                0.32824,                 1.5548,                    inf,                 1.3237,               0.006535,               0.006535,               0.006535
                      9,                 1.5506,                0.96096,                 1.3016,                0.78047,                0.53681,                 0.6255,                0.34123,                 1.5351,                    inf,                 1.3122,                0.00604,                0.00604,                0.00604
                     10,                 1.5372,                0.91901,                 1.3066,                0.78514,                0.52852,                0.62147,                0.34642,                 1.4835,                    inf,                 1.2732,               0.005545,               0.005545,               0.005545
                     11,                 1.5067,                0.89074,                 1.2868,                0.78905,                0.53451,                0.63364,                0.35701,                 1.4803,                    inf,                 1.2689,                0.00505,                0.00505,                0.00505
                     12,                 1.4917,                0.87396,                 1.2767,                0.77883,                0.54912,                0.63244,                0.35397,                  1.464,                    inf,                 1.2535,               0.004555,               0.004555,               0.004555
                     13,                  1.472,                0.85637,                 1.2657,                 0.7906,                0.53655,                0.63064,                0.35894,                 1.4394,                    inf,                 1.2376,                0.00406,                0.00406,                0.00406
                     14,                 1.4513,                0.83924,                 1.2515,                0.80015,                0.56131,                 0.6478,                0.36614,                 1.4447,                    inf,                 1.2633,               0.003565,               0.003565,               0.003565
                     15,                 1.4389,                0.82516,                 1.2426,                0.79966,                0.55412,                0.64707,                 0.3705,                 1.4205,                    inf,                 1.2237,                0.00307,                0.00307,                0.00307
                     16,                 1.4222,                 0.8111,                 1.2325,                 0.8076,                 0.5624,                 0.6526,                0.37465,                 1.4032,                    inf,                 1.2212,               0.002575,               0.002575,               0.002575
                     17,                 1.4058,                0.79847,                 1.2231,                0.81051,                0.57177,                 0.6612,                0.38064,                 1.3959,                    inf,                 1.2111,                0.00208,                0.00208,                0.00208
                     18,                 1.3931,                0.78677,                 1.2138,                0.81283,                0.57127,                 0.6672,                0.38695,                 1.3904,                    inf,                 1.2065,               0.001585,               0.001585,               0.001585
                     19,                 1.3768,                0.77161,                 1.2028,                0.81668,                0.57938,                0.67105,                0.39133,                 1.3678,                    inf,                  1.189,                0.00109,                0.00109,                0.00109
