                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.677,                 1.6392,                 1.3327,                0.77919,                0.46736,                0.57673,                0.31056,                 1.5725,                    inf,                 1.2317,               0.070265,              0.0033038,              0.0033038
                      1,                 1.5474,                 1.0466,                 1.2391,                  0.761,                0.51169,                0.59032,                0.31592,                 1.5208,                    inf,                 1.2203,               0.039937,              0.0063086,              0.0063086
                      2,                 1.5405,                  1.011,                 1.2359,                0.75036,                0.48307,                0.57099,                0.30172,                 1.5808,                    inf,                 1.2651,              0.0092784,              0.0089834,              0.0089834
                      3,                 1.5258,                0.97964,                 1.2292,                 0.7615,                0.53745,                0.61659,                0.33679,                 1.5012,                    inf,                 1.2264,               0.008515,               0.008515,               0.008515
                      4,                 1.4955,                0.94516,                 1.2161,                0.77898,                0.54285,                0.62509,                0.33596,                 1.5195,                    inf,                 1.2356,               0.008515,               0.008515,               0.008515
                      5,                 1.4776,                0.92039,                 1.2093,                0.79046,                0.55463,                0.63921,                0.35745,                 1.4384,                    inf,                 1.1918,                0.00802,                0.00802,                0.00802
                      6,                 1.4622,                0.89837,                  1.201,                0.79204,                0.55249,                0.64131,                0.36013,                 1.4347,                    inf,                 1.1902,               0.007525,               0.007525,               0.007525
                      7,                 1.4497,                0.88713,                 1.1935,                 0.7934,                0.55026,                0.64063,                 0.3615,                 1.4508,                    inf,                 1.1915,                0.00703,                0.00703,                0.00703
                      8,                 1.4336,                0.87214,                 1.1853,                0.79057,                0.55372,                0.64397,                0.36103,                 1.4565,                    inf,                 1.1989,               0.006535,               0.006535,               0.006535
                      9,                 1.4154,                0.85331,                 1.1795,                0.80267,                0.56773,                0.65407,                0.37499,                 1.3983,                    inf,                 1.1656,                0.00604,                0.00604,                0.00604
                     10,                  1.393,                 0.8078,                 1.1695,                0.80477,                0.55656,                0.65159,                0.37265,                 1.4179,                    inf,                 1.1718,               0.005545,               0.005545,               0.005545
                     11,                 1.3811,                 0.7955,                  1.163,                0.81273,                 0.5641,                0.66141,                0.38069,                 1.4063,                    inf,                 1.1672,                0.00505,                0.00505,                0.00505
                     12,                 1.3732,                0.78597,                 1.1578,                0.80965,                0.56779,                0.66107,                0.38234,                 1.3916,                    inf,                 1.1613,               0.004555,               0.004555,               0.004555
                     13,                 1.3607,                0.77388,                 1.1521,                0.81566,                0.57264,                0.66873,                0.39192,                   1.36,                    inf,                 1.1466,                0.00406,                0.00406,                0.00406
                     14,                 1.3501,                0.76394,                 1.1453,                0.81531,                0.58586,                0.67656,                0.39335,                 1.3552,                    inf,                 1.1408,               0.003565,               0.003565,               0.003565
                     15,                 1.3432,                0.75533,                 1.1401,                0.81751,                0.57781,                0.67626,                0.39228,                 1.3635,                    inf,                  1.141,                0.00307,                0.00307,                0.00307
                     16,                  1.333,                0.74693,                 1.1349,                0.82474,                 0.5847,                0.68012,                0.39968,                 1.3438,                    inf,                  1.136,               0.002575,               0.002575,               0.002575
                     17,                 1.3225,                0.73892,                 1.1305,                 0.8243,                0.59083,                0.68429,                0.40336,                 1.3335,                    inf,                 1.1301,                0.00208,                0.00208,                0.00208
                     18,                 1.3155,                0.73203,                 1.1264,                0.82496,                0.59277,                0.68645,                0.40779,                 1.3212,                    inf,                 1.1247,               0.001585,               0.001585,               0.001585
                     19,                 1.3068,                0.72446,                 1.1214,                0.82517,                0.59523,                0.68847,                0.40986,                 1.3151,                    inf,                 1.1205,                0.00109,                0.00109,                0.00109
